epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
125,2609.97,1.52529,0.90656,1.00586,0.73113,0.80702,0.80965,0.44574,1.46855,0.8597,0.9827,0.000259506,0.000259506,0.000259506
126,2630.46,1.50123,0.88129,1.00403,0.73458,0.80927,0.81341,0.4505,1.45798,0.84247,0.98022,0.000250075,0.000250075,0.000250075
127,2651.58,1.49289,0.87323,0.9829,0.74399,0.80778,0.81173,0.44982,1.45689,0.84148,0.98002,0.000240644,0.000240644,0.000240644
128,2671.79,1.50155,0.88064,0.9991,0.73375,0.80118,0.81497,0.45042,1.46182,0.83886,0.98083,0.000231212,0.000231212,0.000231212
129,2692.61,1.48617,0.87399,0.98138,0.75143,0.80212,0.81987,0.45798,1.44731,0.82758,0.97922,0.000221781,0.000221781,0.000221781
130,2713.52,1.51471,0.90765,1.00876,0.76309,0.80789,0.82556,0.46375,1.44173,0.81659,0.97799,0.000212349,0.000212349,0.000212349
131,2734.58,1.50041,0.88908,0.98289,0.74793,0.80156,0.81258,0.44861,1.46841,0.84632,0.9827,0.000202918,0.000202918,0.000202918
132,2754.99,1.49147,0.8901,0.98732,0.76305,0.80672,0.821,0.46227,1.43502,0.82502,0.97759,0.000193487,0.000193487,0.000193487
133,2775.32,1.49321,0.86871,1.00054,0.75829,0.80067,0.82685,0.46667,1.43224,0.81855,0.97708,0.000184055,0.000184055,0.000184055
134,2795.93,1.49544,0.8711,1.01952,0.76177,0.80522,0.82487,0.46258,1.44527,0.82616,0.97912,0.000174624,0.000174624,0.000174624
135,2816.16,1.48436,0.87687,0.97634,0.75054,0.81413,0.82355,0.4675,1.42794,0.82578,0.97572,0.000165192,0.000165192,0.000165192
136,2836.78,1.48191,0.85625,0.98795,0.75482,0.80796,0.82168,0.46435,1.43258,0.81733,0.97659,0.000155761,0.000155761,0.000155761
137,2857,1.48911,0.8563,0.99585,0.75233,0.81273,0.82267,0.46674,1.42944,0.81457,0.97542,0.00014633,0.00014633,0.00014633
138,2877.43,1.45324,0.865,0.99054,0.75568,0.81374,0.82879,0.47371,1.41822,0.80626,0.97282,0.000136898,0.000136898,0.000136898
139,2898.05,1.47815,0.86374,0.99244,0.75672,0.81325,0.83162,0.46844,1.42938,0.8017,0.97455,0.000127467,0.000127467,0.000127467
140,2918.26,1.47209,0.85224,0.99213,0.75816,0.8145,0.82806,0.46948,1.41792,0.80064,0.97245,0.000118035,0.000118035,0.000118035
141,2938.58,1.47696,0.86193,1.01895,0.77744,0.80014,0.82399,0.46608,1.42918,0.81251,0.9757,0.000108604,0.000108604,0.000108604
142,2958.53,1.47708,0.85202,1.0217,0.78217,0.80736,0.83152,0.46637,1.44223,0.80919,0.97684,9.91726e-05,9.91726e-05,9.91726e-05
143,2978.42,1.45521,0.84304,1.01076,0.76649,0.81482,0.83068,0.46981,1.42412,0.80241,0.97462,8.97412e-05,8.97412e-05,8.97412e-05
144,2998.25,1.46709,0.85756,1.0113,0.76416,0.81861,0.83827,0.47493,1.41551,0.79639,0.97222,8.03098e-05,8.03098e-05,8.03098e-05
145,3018.56,1.46528,0.85614,1.00998,0.77433,0.81251,0.83589,0.47248,1.41891,0.79555,0.97258,7.08784e-05,7.08784e-05,7.08784e-05
146,3038.6,1.44714,0.83454,1.00042,0.77133,0.82048,0.83981,0.47784,1.41093,0.79174,0.97135,6.1447e-05,6.1447e-05,6.1447e-05
147,3058.92,1.42423,0.82152,1.0108,0.76432,0.82727,0.83806,0.47858,1.40816,0.79824,0.97064,5.20156e-05,5.20156e-05,5.20156e-05
148,3079.56,1.44997,0.83394,1.01781,0.76409,0.82368,0.83571,0.48009,1.40264,0.79783,0.9703,4.25842e-05,4.25842e-05,4.25842e-05
149,3100.04,1.43643,0.8124,1.01168,0.77383,0.82558,0.83719,0.48117,1.40423,0.78797,0.97028,3.31528e-05,3.31528e-05,3.31528e-05
150,3120.6,1.42579,0.81031,1.01002,0.76578,0.82539,0.83712,0.47957,1.41216,0.78909,0.97132,2.37214e-05,2.37214e-05,2.37214e-05
